Field Name,Field Alias,Domain Name,Domain Description,Domain Type,Option Name,Option Code,Min Value,Max Value
buildingConditionIndex,Building Condition Index,SmsConditionIndex,Condition value from zero to 100 computed after the inspection of the SMS feature. If there is no SMS condition value select -1 to represent Not Evaluated.,Range,,,-1,100
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Child Development Centers,childDevelopmentCenters,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Fitness Centers,fitnessCenters,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Level 1 and 2,level1and2,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Level 1 and 3,level1and3,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Level 1 Prestige,level1Prestige,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Level 2 And 3,level2And3,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Level 2 Basic,level2Basic,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Level 3 Academics,level3Academics,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Medical Group,medicalGroup,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Other,other,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,School Age Program,schoolAgeProgram,,
buildingCustodialType,Building Custodial Type,CustodialType,"The type of custodian for the building: level 1 (prestige), level 2 (basic), etc.",CodedValue,Youth Centers,youthCenters,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Abandoned,abandoned,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Closed,closed,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Damaged,damaged,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,In Service,inService,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Not In Service,notInService,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Other,other,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Programmed,programmed,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Proposed,proposed,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Proposed Abandoned,proposedAbandoned,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Proposed Removed,proposedRemoved,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Removed,removed,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,To Be Determined,tbd,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Temporary,temporary,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Under Construction,underConstruction,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Under Repair,underRepair,,
buildingOpStatus,Building Op Status,OperationalStatus,The state of usability of the feature.,CodedValue,Unknown,unknown,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Aruba (AW),abw,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Afghanistan (AF),afg,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Angola (AO),ago,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Anguilla (AI),aia,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Albania (AL),alb,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Andorra (AD),and,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,United Arab Emirates (AE),are,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Argentina (AR),arg,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Armenia (AM),arm,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,American Samoa (AS),asm,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Antarctica (AQ),ata,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,French Southern and Antarctic Lands (TF),atf,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Antigua And Barbuda (AG),atg,,
