Field Name,Field Alias,Domain Name,Domain Description,Domain Type,Option Name,Option Code,Min Value,Max Value
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1494 - Blue Butte Communication Site Site 1,1494,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1497 - Boise Air Terml Site #1 ,1497,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1498 - Boles Wells Water System Annex,1498,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1500 - Boron Nexrad Site Site 1,1500,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1502 - Bonito Lake Water System Annex,1502,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1504 - Bonneville Radio Relay Annex Site 1,1504,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1505 - Camp Courtney Family Housing Annex Site 1,1505,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1506 - Camp Mctureous Family Housing Annex Site 1,1506,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1508 - Boulder Seismological Research Site Site 1,1508,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1509 - Cherry Creek Communications Annex Site #1 ,1509,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1510 - Bovine Mountain Gapfiller Radar Site 1,1510,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1512 - Bowmans Bayou Radio Relay Annex D 1A Site 1,1512,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1514 - Brackettville Nexrad Weather Site, Site #1 ",1514,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1515 - Cedar Pass Radio Relay Annex Site 1,1515,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1516 - Bradley International Airport Site #1 ,1516,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1517 - Brandywine Globecom Annex Site 1,1517,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1518 - Brandywine Family Housing Annex Site #1 ,1518,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1519 - Brandywine Storage Annex Site 1,1519,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1521 - Brooks Site #1 ,1521,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1522 - Copenhagen Family Housing Site #1 ,1522,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1523 - Conger Range Radio Relay Annex Site 1,1523,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1524 - Conger Peak Radio Relay Annex Site 1,1524,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1525 - Conger Mtn Radio Relay Annex Site 1,1525,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1526 - Confusion Range Radio Relay Annex Site 1,1526,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1527 - Cowboy Overlook Radio Relay Annex Site 1,1527,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1528 - Cowboy Pass Radio Relay Annex Site 1,1528,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1529 - Buechel Air Base Site 1,1529,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1530 - Buckley Air Force Base Site 1,1530,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1531 - Grissom Arb Site 1,1531,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1532 - Grissom Air Force Base Site #1 ,1532,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1533 - Burlington Pol Retail Distribution Stn Site 1,1533,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1534 - Burlington International Airport Site #1 ,1534,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1535 - Burnt Mountain Research Site 1,1535,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1536 - Byrd Field Site #1 ,1536,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1537 - Cabrito Fuel Storage Annex Site #1 ,1537,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1539 - Caldeira Ammunition Storage Area Site 1,1539,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1540 - Caldeira Communications Facility Annex Site #1 ,1540,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1541 - Caldeira Vor Annex Site 1,1541,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1542 - Caldeira Radio Beacon Annex Site 1,1542,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1543 - Cmp Slby Rge Site #1 ,1543,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1544 - Camp Blanding Site #1 ,1544,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1546 - Camp Beauregard Training Site, Site #1 ",1546,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1548 - Camp Grayling Weapons Range Site #1 ,1548,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1549 - Camp Mabry Site #1 ,1549,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1550 - Campion Air Force Station Site #1 ,1550,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1551 - Cannon AFB Site 1,1551,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1552 - Cannon Meadows Housing Area Site #1 ,1552,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1554 - Canyon Lake Recreation Annex Site 1,1554,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1555 - Cape Canaveral Air Force Station Site #1 ,1555,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1557 - Cape Cod Air Station Site #1 ,1557,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1558 - Cape Lisburne Long Range Radar Site, Site #1 ",1558,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1559 - Cape Newenham Long Range Radar Site, Site #1 ",1559,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1560 - Cape Romanzof Long Range Radar Site, Site #1 ",1560,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1561 - Cape San Blas Missile Tracking Annex D 3 Site 1,1561,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1562 - Capital Airport Site #1 ,1562,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1564 - Carrabelle Missile Tracking Annex Site #1 ,1564,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1565 - Carswell Air Force Base Site #1 ,1565,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1567 - Carswell Air Reserve Station Site #1 ,1567,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1568 - Carter Creek Recreation Center Site 1,1568,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1571 - Castle Mountain Radio Relay Annex Site 1,1571,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1577 - Channel Islands ANG Station Site #1 ,1577,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1578 - Chanute AFB Site 1,1578,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1579 - Joint Base Charleston Naval Weapons Station,1579,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1580 - Charleston Defense Fuel Support Point Site 1,1580,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1582 - Chena River Research Site 1,1582,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1584 - Cheyenne Regional Apt Site #1 ,1584,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1585 - Draw Emitter Site, Site #1 ",1585,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1586 - Chitose Administration Annex Site 1,1586,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1587 - Chong Ju Support Annex Site 1,1587,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1589 - Christmas Valley Radar Site, Site #1 ",1589,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1590 - Cigli Air Base Site #1 ,1590,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1593 - Cinco Picos Globecom Annex Site 1,1593,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1594 - Clark 21Mm07 Mini Mute Radar Site 1,1594,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1595 - Clausen Missile Tracking Annex Site 1,1595,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1596 - Clear Air Force Station Site #1 ,1596,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1597 - Dyess Ils Middle Marker Annex 01 Site 1,1597,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1598 - Dyess Ils Middle Marker Annex 02 Site 1,1598,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1599 - Clinton Outdoor Training Site, Site #1 ",1599,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1600 - Clive Radio Relay Annex Site 1,1600,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1601 - Clovis Nexrad Weather Site Site 1,1601,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1602 - Middle Georgia Regional Airport Site #1 ,1602,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1603 - Cocoa Ocean Beach Tracking Annex Site #1 ,1603,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1604 - Cold Bay Long Range Radar Site, Site #1 ",1604,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1606 - Colony Radar Bomb Scoring Site 1,1606,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1607 - Columbia Falls Radar Site, Site #1 ",1607,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1608 - Columbus AFB Site 1,1608,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1609 - Cavalier Asn Site #1 ,1609,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1610 - Cone Mountain Rrl Site 1,1610,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1611 - Confusion Peak Radio Relay Annex Site 1,1611,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1612 - Castle Rock 21Mm05 Mini Mute Radar Site 1,1612,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1614 - Eldorado Asn Site 1,1614,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1615 - Covadascinzas Petroleum Products Stg Annex Site #1 ,1615,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1618 - Coyle ANG Training Annex Site #1 ,1618,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1621 - Claiborne Air Force Range Site 1,1621,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1622 - Camp Pendleton ANG Site #1 ,1622,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1623 - Camp Red Cloud Communications Site, Site #1 ",1623,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1624 - Camp Rilea ANG Station Site #1 ,1624,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1625 - Eskisehir Unaccompanied Housing Site #1 ,1625,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1627 - Camp Kuwae Family Housing Annex Site 1,1627,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1628 - Camp Parks Communications Annex Site #1 ,1628,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1629 - Camp Murray AGS Site #1 ,1629,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1630 - Camp Perry ANG Site #1 ,1630,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1631 - Camp Shields Family Housing Annex Site 1,1631,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1633 - Camp Humphreys Communications Site, Site #1 ",1633,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1634 - Camp Zama Communications Station Site 1,1634,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1635 - Camp Foster Family Housing Anx Site 1,1635,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1636 - Crater Island Radio Relay Annex Site 1,1636,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1637 - Cross City Radar Site, Site #1 ",1637,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1638 - RAF Croughton Site #1 ,1638,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1639 - Cuddeback Lake Air Force Range Site #1 ,1639,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1640 - Cudjoe Key Air Force Station Site #1 ,1640,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1641 - Cume Da Praia Tacan Annex Site 1,1641,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1642 - Cume Da Praia Radio Relay Annex Site #1 ,1642,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1643 - Curacao Site 1,1643,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1644 - Cusick Survival Training Site Site 1,1644,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1646 - Montgomery Regional Airport ANG Base #1 ,1646,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1648 - Davidsonville Family Housing Anx Site 1,1648,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1649 - Davis Communications Annex Site #1 ,1649,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1650 - Davis Monthan AFB Site 1,1650,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1651 - Dmafb Missile Site 8,1651,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1652 - Dmafb Missile Site 12,1652,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1653 - Davis Monthan Radio Relay Annex Site 1,1653,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1654 - Deep Creek Valley Radio Relay Annex Site 1,1654,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1655 - Deering Next Generation Weather Site Site 1,1655,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1656 - Deming Radar Site,1656,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1658 - Des Moines International Airport Site #1 ,1658,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1659 - Disappointment Radio Relay Annex Site 1,1659,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1660 - Dobbins Arb Site #1 ,1660,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1661 - Char/Douglas International Airport Site #1 ,1661,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1662 - Bangor International Airport Site #1 ,1662,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1665 - Driftwood Bay Radio Relay Site, Site #1 ",1665,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1666 - Dugway Radio Relay Annex No 1 Site 1,1666,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1667 - Dugway Radio Relay Annex No 2 Site 1,1667,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1668 - Duluth International Airport Site #1 ,1668,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1670 - Dunlap Mini Mute Rbs Site 4 Site 1,1670,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1671 - Dutch Mountain Radio Relay Annex Site 1,1671,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1672 - Dyess Air Force Base Site 1,1672,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1673 - Dyess Communications Annex Transmitter Site #1 ,1673,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1674 - Dyess Communications Annex Receiver Site 1,1674,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1675 - Dyess North Weather Station Site 1,1675,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1676 - Dyess South Weather Station Site 1,1676,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"1677 - Fontanafredda Family Housing Site, Site #1 ",1677,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1678 - Fort Pierce Microwave Relay Annex Site #1 ,1678,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1681 - Fort Bliss Air National Guard Station Site #1 ,1681,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1682 - Eagle Pass Radar Site,1682,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1683 - Eastern Alabama Nexrad Site #1 ,1683,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1684 - Edwards AFB Site 1,1684,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1685 - Edwards Missile Tracking Site 1,1685,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1686 - Edwards Missile Tracking Annex A 12 Site 1,1686,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1687 - Edwards Missile Tracking Annex A 11 Site 1,1687,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1688 - Edwards Missile Tracking Annex A 10 Site 1,1688,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1689 - Ft Carson Weapons Range Site 1,1689,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1690 - Egan Range Microwave Relay Annex Site 1,1690,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1691 - Eglin Air Force Auxiliary Field 3 Duke Fld Site 1,1691,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1692 - Eglin Air Force Auxiliary Field 6 Site 1,1692,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1693 - Hurlburt Field Site 1,1693,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1694 - Eglin Air Force Auxiliary Field 10 Site 1,1694,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1695 - Eglin AFB Site 1 Eglin Main And Reservation,1695,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1696 - Eielson Alpa Research 1 1 Site 1,1696,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1697 - Eielson Alpa Research 2 2 Site 1,1697,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1698 - Eielson Alpa Research 2 3 Site 1,1698,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169877 - Ellendale Next Generation Site 1,169877,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169879 - U S A F Academy Site #2 ,169879,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169880 - Port Mahon Pol Annex Site 1,169880,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169881 - Dover AFB Site 1,169881,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169882 - Amc Lease Frankfurt,169882,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169883 - Ramstein Satellite Housing Office,169883,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169885 - Seminole Ranch  4D Site #1 ,169885,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169886 - Satellite Blvd Site 1 ,169886,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169887 - Deseret Aldf 1 ,169887,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169888 - Lori Wilson Park Site 1 ,169888,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169890 - Jupiter Boresight 1 ,169890,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169891 - Silver Island Radio Relay Annex No 1 Site 1,169891,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,"169892 - Lwtc, Nfac Site #1 ",169892,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169897 - Patriot Golf Course,169897,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169898 - Providence Court ,169898,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1699 - Eielson Alpa Research 2 4 Site 1,1699,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,169900 - Blenheim Cresent ,169900,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1700 - Eielson Alpa Research 3 3 Site 1,1700,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170016 - Dfas Annex,170016,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170035 - Gott Company Property,170035,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170081 - Kennedy Space Center Communications ,170081,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1701 - Eielson Alpa Research 3 23 Site 1,1701,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1702 - Eielson Alpa Research 3 34 Site 1,1702,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170208 - Brandon Medical Annex ,170208,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170210 - Nasa Clinic Rmc Site 1  ,170210,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170211 - Cocoa Water Plant Doppler  ,170211,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170212 - Carter County Radio Repeater Site,170212,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170221 - Bwi Administrative Office,170221,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170222 - Davis Communications Annex Site #2 ,170222,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1703 - Eielson Air Force Base,1703,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170305 - Townsend Air To Ground Weapons Range,170305,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,1704 - Ekalaka 21Mm10 Mini Mute Radar Site 1,1704,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170429 - Camp Shelby Assualt Runwaysite #2 ,170429,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170431 - Fairview Heights Administration Office ,170431,,
rpsuid,Real Property Site Unique Identifier,Rpsuid,The real property site unique identifier.,CodedValue,170432 - Moffett Field Site #1 ,170432,,
