Area Size UOM (areaSizeUom),Building Condition (buildingCondition),Building Condition Index (buildingConditionIndex),Building Custodial Type (buildingCustodialType),Building Op Status (buildingOpStatus),Country (country),Data Collection (dataCollection),Elevation Unit of Measure (elevationUom),Facility Condition Code (facilityConditionCode),Facility Gross Sq Ft UOM (facilityGrossSqFtUom),Flex Field Boolean (flexFieldYn),Has Giant Voice (hasGiantVoice),has Mass Notification Device (hasMassNotificationDevice),Height Max Uom (heightMaxUom),Installation Identifier (installationId),Installation Name (installationName),Is Heritage Asset (isHeritageAsset),Is Real Property (isRealProperty),Major Command (majorCommand),Mission Dependency Index (missionDependencyIndex),Owner (owner),Perimeter Size UOM (perimeterSizeUom),Road Post Directional (roadPostDirectional),Road Prefix Directional (roadPrefixDirectional),Real Property Interest (rpInterest),RPA Construction Type (rpaConstructionType),Real Property Asset Type (rpaType),Real Property Site Unique Identifier (rpsuid),Site ID (siteId),State or Territory Name (stateName),Vertical Datum Type (verticalDatumType),Visitor Map Name (visitorMapName)
,,,,,"Tanzania, United Republic of (TZ) (tza)",,,,,,,,,ulyb - Rosecrans Memorial Airport AGS (ulyb),Savannah/Hilton Head International Airport AGS (savannahHiltonHeadIApAgs),,,,,,,,,,,,1640 - Cudjoe Key Air Force Station Site #1  (1640),dpnb0001 - O'Hare Air Reserve Station (dpnb0001),,,
,,,,,Uganda (UG) (uga),,,,,,,,,umlh - Roslyn ANGS (BRAC) (umlh),Savannah International Airport (savannahInternationalAirport),,,,,,,,,,,,1641 - Cume Da Praia Tacan Annex Site 1 (1641),"draw0001 - Draw Emitter Site, Site #1 (draw0001)",,,
,,,,,Ukraine (UA) (ukr),,,,,,,,,useb - Salt Lake City International Airport AGS (useb),Schenectady Regional Airport AGS (schenectadyRApAgs),,,,,,,,,,,,1642 - Cume Da Praia Radio Relay Annex Site #1  (1642),dscv0001 - Chitose Administration Annex Site #1 (dscv0001),,,
,,,,,Uruguay (UY) (ury),,,,,,,,,uwde - Costa Mesa ANGS (uwde),Schriever SFB (schrieverSfb),,,,,,,,,,,,1643 - Curacao Site 1 (1643),dslg0001 - Chong Ju Support Annex Site #1 (dslg0001),,,
,,,,,United States (US) (usa),,,,,,,,,uzyj - Hunter Army Airfield (uzyj),Scott AFB (scottAfb),,,,,,,,,,,,1644 - Cusick Survival Training Site Site 1 (1644),"dsry0001 - Christmas Valley Radar Site, Site #1 (dsry0001)",,,
,,,,,Uzbekistan (UZ) (uzb),,,,,,,,,vbdz - Schenectady Regional Airport AGS (vbdz),Scott Technology Center (scottTechnologyCenter),,,,,,,,,,,,1646 - Montgomery Regional Airport ANG Base #1  (1646),dstr0001 - Deseret ALDF #1 (dstr0001),,,
,,,,,Vatican City (VA) (vat),,,,,,,,,vdyd - Scott AFB (vdyd),Selfridge ANGB (selfridgeAngb),,,,,,,,,,,,1648 - Davidsonville Family Housing Anx Site 1 (1648),dtlv0001 - Cigli Air Base Site #1 (dtlv0001),,,
,,,,,Saint Vincent and The Grenadines (VC) (vct),,,,,,,,,vglz - Selfridge ANGB (vglz),Sepulveda ANGS (sepulvedaAngs),,,,,,,,,,,,1649 - Davis Communications Annex Site #1  (1649),dtyb0001 - Cinco Picos Globecom Annex Site #1 (dtyb0001),,,
,,,,,Venezuela (VE) (ven),,,,,,,,,vhrj - Sepulveda ANGS (vhrj),Seymour Johnson AFB (seymourJohnsonAfb),,,,,,,,,,,,1650 - Davis Monthan AFB Site 1 (1650),dvtr0001 - Clark Instrument Route Site (dvtr0001),,,
,,,,,"Virgin Islands, British (VG) (vgb)",,,,,,,,,vkag - Seymour Johnson AFB (vkag),Shaw AFB (shawAfb),,,,,,,,,,,,1651 - Dmafb Missile Site 8 (1651),dwnx0001 - Clausen Missile Tracking Annex Site #1 (dwnx0001),,,
,,,,,"Virgin Islands, U.S. (VI) (vir)",,,,,,,,,vlsb - Shaw AFB (vlsb),Sheppard AFB (sheppardAfb),,,,,,,,,,,,1652 - Dmafb Missile Site 12 (1652),dxeb0001 - Clear Air Force Station Site #1 (dxeb0001),,,
,,,,,Vietnam (VN) (vnm),,,,,,,,,vnmh - Eareckson AS (vnmh),Sioux Gateway Airport/Col Bud Day Field ANG (siouxGatewayArptColBudDayFieldAgs),,,,,,,,,,,,1653 - Davis Monthan Radio Relay Annex Site 1 (1653),"dyab0001 - Dyess ILS Middle Marker Annex 01, Site #1 (dyab0001)",,,
,,,,,Vanuatu (VU) (vut),,,,,,,,,vnvp - Sheppard AFB (vnvp),Smoky Hill ANG Range (smokyHillANGRange),,,,,,,,,,,,1654 - Deep Creek Valley Radio Relay Annex Site 1 (1654),"dyac0001 - Dyess ILS Middle Marker Annex 02, Site #1 (dyac0001)",,,
,,,,,Wallis And Futuna (WF) (wlf),,,,,,,,,vssb - Sioux Gateway Airport/Col Bud Day Field ANG (vssb),Southern California Logistics Airport (southernCaliforniaLogisticsArpt),,,,,,,,,,,,1655 - Deering Next Generation Weather Site Site 1 (1655),"dzaq0001 - Clinton Outdoor Training Site, Site #1 (dzaq0001)",,,
,,,,,Samoa (WS) (wsm),,,,,,,,,vtnb - Goldwater ANGB (Phoenix Sky Harbor International Airport) (vtnb),South Portland ANGB (southPortlandAngb),,,,,,,,,,,,1656 - Deming Radar Site (1656),eacu0001 - Clive Radio Relay Annex Site #1 (eacu0001),,,
,,,,,Ashmore And Cartier Islands (XA) (xac),,,,,,,,,vubv - Smoky Hill ANG Range (vubv),Spangdahlem AB (spangdahlemAb),,,,,,,,,,,,1658 - Des Moines International Airport Site #1  (1658),"eapp0001 - Clovis Nexrad Weather Site, Site #1 (eapp0001)",,,
,,,,,Bassas Da India (QS) (xbi),,,,,,,,,vvrk - South Portland ANGB (vvrk),Spokane International Airport AGS (spokaneIApAgs),,,,,,,,,,,,1659 - Disappointment Radio Relay Annex Site 1 (1659),eazp0001 - Middle Georgia Regional Airport Site #1 (eazp0001),,,
,,,,,Baker Island (XB) (xbk),,,,,,,,,vyhk - Spangdahlem AB (vyhk),Springfield-Beckley Municipal Airport AGS (springfieldBeckleyMApAgs),,,,,,,,,,,,1660 - Dobbins Arb Site #1  (1660),ebpm0001 - Cocoa Ocean Beach Tracking Annex Site #1 (ebpm0001),,,
,,,,,Coral Sea Islands (XC) (xcs),,,,,,,,,vzbt - Spokane IAP AGS (vzbt),Stanly County ANGB (stanlyCountyAngb),,,,,,,,,,,,1661 - Char/Douglas International Airport Site #1  (1661),"ecmv0001 - Cold Bay Long Range Radar Site, Site #1 (ecmv0001)",,,
,,,,,Europa Island (XE) (xeu),,,,,,,,,waar - Springfield-Beckley Municipal Airport AGS (waar),State College ANGS (stateCollegeAngs),,,,,,,,,,,,1662 - Bangor International Airport Site #1  (1662),"ednw0001 - Colony Radar Bomb Scoring Site, Site #1 (ednw0001)",,,
,,,,,Glorioso Islands (QX) (xgl),,,,,,,,,wbga - St Croix ANGS (wbga),St Croix ANGS (stCroixAngs),,,,,,,,,,,,"1665 - Driftwood Bay Radio Relay Site, Site #1  (1665)","eefk0001 - Columbia Falls Radar Site, Site #1 (eefk0001)",,,
,,,,,Gaza Strip (XG) (xgz),,,,,,,,,weas - Louisville International Airport-Standiford Field AGS (weas),Stewart International Airport ANGB (stewartIApAngb),,,,,,,,,,,,1666 - Dugway Radio Relay Annex No 1 Site 1 (1666),eepz0001 - Columbus Site #1 (eepz0001),,,
,,,,,Howland Island (XH) (xho),,,,,,,,,wefm - Stanly County Airport (wefm),Syracuse Hancock Field International Airport AGS (syracuseHancockFieldIApAgs),,,,,,,,,,,,1667 - Dugway Radio Relay Annex No 2 Site 1 (1667),egyn0001 - Cavalier Asn Site #1 (egyn0001),,,
,,,,,Johnston Atoll (XU) (xja),,,,,,,,,wfge - State College ANGS (wfge),Ted Stevens International Airport ANGB (tedStevensIApAngb),,,,,,,,,,,,1668 - Duluth International Airport Site #1  (1668),ehem0001 - Cone Mountain Rrl Site #1 (ehem0001),,,
,,,,,Jan Mayen (XJ) (xjm),,,,,,,,,whay - Stewart International Airport ANGB (whay),Terre Haute International Airport-Hulman Field AGS (terreHauteIApHulmanFieldAgs),,,,,,,,,,,,1670 - Dunlap Mini Mute Rbs Site 4 Site 1 (1670),ehfz0001 - Confusion Peak Radio Relay Annex Site #1 (ehfz0001),,,
,,,,,Juan De Nova Island (QU) (xjn),,,,,,,,,wkvb - Francis S. Gabreski ANGS (wkvb),Pituffik SB (pituffikSb),,,,,,,,,,,,1671 - Dutch Mountain Radio Relay Annex Site 1 (1671),ehfz0002 - Trout Creek GAP Filler Radar Site (ehfz0002),,,
,,,,,Jarvis Island (XQ) (xjv),,,,,,,,,wmsj - Onizuka AFS (BRAC) (wmsj),Tinker AFB (tinkerAfb),,,,,,,,,,,,1672 - Dyess Air Force Base Site 1 (1672),ehgn0001 - St Elizabeth's Hospital Ob/Gyn Clinic (ehgn0001),,,
,,,,,Kingman Reef (XM) (xkr),,,,,,,,,wwcx - Thule AB (wwcx),Toledo Express Airport AGS (toledoExpressArptAgs),,,,,,,,,,,,1673 - Dyess Communications Annex Transmitter Site #1  (1673),ehqt0001 - Conner (ehqt0001),,,
,,,,,Kosovo (XK) (xks),,,,,,,,,wwyk - Tinker AFB (wwyk),Tonopah Auxiliary Airfield Annex (tonopahAuxAirfieldAnnex),,,,,,,,,,,,1674 - Dyess Communications Annex Receiver Site 1 (1674),ekmg0001 - Eklutna Mountain Glacier Site (ekmg0001),,,
,,,,,Midway Island (QM) (xmw),,,,,,,,,wytd - Toledo Express Airport AGS (wytd),Travis AFB (travisAfb),,,,,,,,,,,,1675 - Dyess North Weather Station Site 1 (1675),elaw0001 - Eldorado Asn Site #1 (elaw0001),,,
,,,,,Navassa Island (XV) (xnv),,,,,,,,,wzvv - Tonopah Auxiliary Airfield Annex (wzvv),Tucson International Airport AGS (tucsonIApAgs),,,,,,,,,,,,1676 - Dyess South Weather Station Site 1 (1676),epxa0001 - Covadascinzas Petroleum Products Stg Annex Site #1 (epxa0001),,,
,,,,,Palmyra Atoll (XL) (xpl),,,,,,,,,xdat - Travis AFB (xdat),Tulsa International Airport AGS (tulsaIApAgs),,,,,,,,,,,,"1677 - Fontanafredda Family Housing Site, Site #1  (1677)",eqtl0001 - Coyle ANG Training Annex Site #1 (eqtl0001),,,
,,,,,Paracel Islands (XP) (xpr),,,,,,,,,xdq1 - Savannah International Airport (xdq1),Tyndall AFB (tyndallAfb),,,,,,,,,,,,1678 - Fort Pierce Microwave Relay Annex Site #1  (1678),ernm0001 - Claiborne Air Force Range Site #1 (ernm0001),,,
,,,,,Akrotiri (QZ) (xqz),,,,,,,,,xdqu - Savannah/Hilton Head International Airport AGS (xdqu),US Air Force Academy (uSAirForceAcademy),,,,,,,,,,,,1681 - Fort Bliss Air National Guard Station Site #1  (1681),ervd0001 - Camp Pendleton ANG Site #1 (ervd0001),,,
,,,,,Spratly Islands (XS) (xsp),,,,,,,,,xgfg - Dane County Regional Airport-Truax Field ANGB (xgfg),Vance AFB (vanceAfb),,,,,,,,,,,,1682 - Eagle Pass Radar Site (1682),"ervn0001 - Camp Red Cloud Communications Site, Site #1 (ervn0001)",,,
,,,,,Svalbard (XR) (xsv),,,,,,,,,xhea - Morris ANGB (Tucson International Airport) (xhea),Vandenberg SFB (vandenbergSfb),,,,,,,,,,,,1683 - Eastern Alabama Nexrad Site #1  (1683),erwm0001 - Camp Rilea ANG Station Site #1 (erwm0001),,,
,,,,,Tromelin Island (XT) (xtr),,,,,,,,,xhzg - Tulsa International Airport AGS (xhzg),Volk ANGB (volkAngb),,,,,,,,,,,,1684 - Edwards AFB Site 1 (1684),eski0001 - Eskisehir Unaccompanied Housing Site #1 (eski0001),,,
,,,,,West Bank (XW) (xwb),,,,,,,,,xlwu - Tyndall AFB (xlwu),Volkel AB (volkelAb),,,,,,,,,,,,1685 - Edwards Missile Tracking Site 1 (1685),etdl0001 - Camp Kuwae Family Housing Annex Site #1 (etdl0001),,,
,,,,,Wake Island (QW) (xwk),,,,,,,,,xqpz - US Air Force Academy (xqpz),Warren Grove Range (warrenGroveRange),,,,,,,,,,,,1686 - Edwards Missile Tracking Annex A 12 Site 1 (1686),etqj0001 - Camp Parks Communications Annex Site #1 (etqj0001),,,
,,,,,Dhekelia Sovereign Base Area (XD) (xxd),,,,,,,,,xtlf - Vance AFB (xtlf),Westover ARB (westoverArb),,,,,,,,,,,,1687 - Edwards Missile Tracking Annex A 11 Site 1 (1687),etrd0001 - Camp Murray AGS Site #1 (etrd0001),,,
,,,,,Yemen (YE) (yem),,,,,,,,,xumu - Vandenberg AFB (xumu),Whiteman AFB (whitemanAfb),,,,,,,,,,,,1688 - Edwards Missile Tracking Annex A 10 Site 1 (1688),etrd0002 - Camp Murray AGS Site #2 (etrd0002),,,
,,,,,South Africa (ZA) (zaf),,,,,,,,,yaqf - Volk ANGB (yaqf),Williams AFB (williamsAfb),,,,,,,,,,,,1689 - Ft Carson Weapons Range Site 1 (1689),etrd0003 - Camp Murray AGS Site #3 (etrd0003),,,
,,,,,Zambia (ZM) (zmb),,,,,,,,,yasf - Volkel AB (yasf),Willow Grove-Horsham AGS (willowGroveHorshamAgs),,,,,,,,,,,,1690 - Egan Range Microwave Relay Annex Site 1 (1690),etrd0004 - Camp AMP Murray AGS Site #4 (etrd0004),,,
,,,,,Zimbabwe (ZW) (zwe),,,,,,,,,yksx - Warren Grove Range (yksx),Will Rogers World Airport AGS (willRogersWorldArptAgs),,,,,,,,,,,,1691 - Eglin Air Force Auxiliary Field 3 Duke Fld Site 1 (1691),eubc0001 - Camp Perry ANG Site #1 (eubc0001),,,
,,,,,,,,,,,,,,ytpm - Westover ARB (ytpm),W.K. Kellogg Regional Airport AGS (wKKelloggRApAgs),,,,,,,,,,,,1692 - Eglin Air Force Auxiliary Field 6 Site 1 (1692),eupr0001 - Camp Shields Family Housing Annex Site #1 (eupr0001),,,
,,,,,,,,,,,,,,ywhg - Whiteman AFB (ywhg),Wright-Patterson AFB (wrightPattersonAfb),,,,,,,,,,,,1693 - Hurlburt Field Site 1 (1693),"euvt0001 - Camp Humphreys Communications Site, Site #1 (euvt0001)",,,
,,,,,,,,,,,,,,yzeu - Will Rogers World Airport AGS (yzeu),Wurtsmith AFB (wurtsmithAfb),,,,,,,,,,,,1694 - Eglin Air Force Auxiliary Field 10 Site 1 (1694),evkg0001 - Camp Zama Communications Station Site #1 (evkg0001),,,
,,,,,,,,,,,,,,yzju - Williams AFB (BRAC) (yzju),Yeager AGS (yeagerAgs),,,,,,,,,,,,1695 - Eglin AFB Site 1 Eglin Main And Reservation (1695),evkp0001 - Camp Foster Family Housing Annex Site #1 (evkp0001),,,
,,,,,,,,,,,,,,zawa - Horsham AGS (zawa),Yokota AB (yokotaAb),,,,,,,,,,,,1696 - Eielson Alpa Research 1 1 Site 1 (1696),ewhw0001 - Crater Island Radio Relay Annex Site #1 (ewhw0001),,,
,,,,,,,,,,,,,,zawb - Willow Grove-Horsham AGS (zawb),Youngstown Joint ARS (youngstownJointArs),,,,,,,,,,,,1697 - Eielson Alpa Research 2 2 Site 1 (1697),"exnr0001 - Cross City Radar Site, Site #1 (exnr0001)",,,
,,,,,,,,,,,,,,zhtv - Wright-Patterson AFB (zhtv),Zanesville AGS (zanesvilleAgs),,,,,,,,,,,,1698 - Eielson Alpa Research 2 3 Site 1 (1698),exsw0001 - RAF Croughton Site #1 (exsw0001),,,
,,,,,,,,,,,,,,zjxd - Wurtsmith AFB (BRAC) (zjxd),AlpenaCoRegionalAp (alpenaCoRegionalAp),,,,,,,,,,,,169877 - Ellendale Next Generation Site 1 (169877),eycz0001 - Cuddeback Lake Air Force Range Site #1 (eycz0001),,,
,,,,,,,,,,,,,,znre - Yokota AB (znre),EWVRAShepherdField (ewvraShepherdField),,,,,,,,,,,,169879 - U S A F Academy Site #2  (169879),eydz0001 - Cudjoe Key Air Force Station Site #1 (eydz0001),,,
,,,,,,,,,,,,,,zqel - Youngstown Joint ARS (zqel),GoldwaterAngb (goldwaterAngb),,,,,,,,,,,,169880 - Port Mahon Pol Annex Site 1 (169880),eynh0001 - Cume Da Praia Tacan Annex Site #1 (eynh0001),,,
,,,,,,,,,,,,,,zrvl - Zanesville AGS (zrvl),HulmanField (hulmanField),,,,,,,,,,,,169881 - Dover AFB Site 1 (169881),eynj0001 - Cume Da Praia Radio Relay Annex Site #1 (eynj0001),,,
,,,,,,,,,,,,,,dhaf - Al Dhafra Air Base_dhaf (dhaf),MclaughlinAngb (mclaughlinAngb),,,,,,,,,,,,169882 - Amc Lease Frankfurt (169882),eynk0001 - Curacao Site #1 (eynk0001),,,
,,,,,,,,,,,,,,alua - Al Udeid Air Base_alua (alua),MorrisAngb (morrisAngb),,,,,,,,,,,,169883 - Ramstein Satellite Housing Office (169883),"eyyp0001 - Cusick Survival Training Site, Site #1 (eyyp0001)",,,
,,,,,,,,,,,,,,aewv - Ali Al Salem Air Base_aewv (aewv),PittsburghIap (pittsburghIap),,,,,,,,,,,,169885 - Seminole Ranch  4D Site #1  (169885),fakz0001 - Montgomery Regional Airport ANG Base #1 (fakz0001),,,
,,,,,,,,,,,,,,acnk - Csl Agadez_acnk (acnk),SITaegu (siTaegu),,,,,,,,,,,,169886 - Satellite Blvd Site 1  (169886),fbjs0001 - Davidsonville Family Housing Annex Site #1 (fbjs0001),,,
,,,,,,,,,,,,,,jbab - Jb Anacostia Bolling (jbab),SumpterSmithAngb (sumpterSmithAngb),,,,,,,,,,,,169887 - Deseret Aldf 1  (169887),fbkr0001 - Davis Communications Annex Site #1 (fbkr0001),,,
,,,,,,,,,,,,,,jbsa - Jb San Antonio (jbsa),TruaxAngb (truaxAngb),,,,,,,,,,,,169888 - Lori Wilson Park Site 1  (169888),fbkr0002 - Davis Communications Annex Site #2 (fbkr0002),,,
,,,,,,,,,,,,,,asvf - Muwaffaq Salti Air Base_asvf (asvf),,,,,,,,,,,,,169890 - Jupiter Boresight 1  (169890),fbnv0001 - Davis Monthan Air Force Base Site #1 (fbnv0001),,,
,,,,,,,,,,,,,,sias - SI Ascension (sias),,,,,,,,,,,,,169891 - Silver Island Radio Relay Annex No 1 Site 1 (169891),fbnv0002 - Arizona State Land Department (fbnv0002),,,
,,,,,,,,,,,,,,siav - SI Avon Park (siav),,,,,,,,,,,,,"169892 - Lwtc, Nfac Site #1  (169892)","fbpk0001 - Davis-Monthan AF Missile Site N0 8, Site #1 (fbpk0001)",,,
,,,,,,,,,,,,,,sibu - SI Buckley (sibu),,,,,,,,,,,,,169897 - Patriot Golf Course (169897),"fbpp0001 - Davis-Monthan AF Missile Site #12, Site #1 (fbpp0001)",,,
,,,,,,,,,,,,,,sicn - SI Cape Canaveral (sicn),,,,,,,,,,,,,169898 - Providence Court  (169898),fbpw0001 - Davis-Monthan Radio Relay Annex Site #1 (fbpw0001),,,
,,,,,,,,,,,,,,sicc - SI Cape Cod (sicc),,,,,,,,,,,,,1699 - Eielson Alpa Research 2 4 Site 1 (1699),fdbk0001 - Deep Creek Valley Radio Relay Annex Site #1 (fdbk0001),,,
,,,,,,,,,,,,,,sicv - SI Cavalier (sicv),,,,,,,,,,,,,169900 - Blenheim Cresent  (169900),fdfe0001 - O'Fallon Administrative Office #2 (fdfe0001),,,
,,,,,,,,,,,,,,sicm - SI Cheyenne Mountain (sicm),,,,,,,,,,,,,1700 - Eielson Alpa Research 3 3 Site 1 (1700),"fdgj0001 - Deering Next Generation Weather Site, Site #1 (fdgj0001)",,,
,,,,,,,,,,,,,,sicl - SI Clear (sicl),,,,,,,,,,,,,170016 - Dfas Annex (170016),fecv0001 - Deming Radar Site (fecv0001),,,
,,,,,,,,,,,,,,sieu - SI Eustis (sieu),,,,,,,,,,,,,170035 - Gott Company Property (170035),ffan0001 - Des Moines International Airport Site #1 (ffan0001),,,
,,,,,,,,,,,,,,siha - SI Hanscom (siha),,,,,,,,,,,,,170081 - Kennedy Space Center Communications  (170081),fgnl0001 - Disappointment Radio Relay Annex Site #1 (fgnl0001),,,
,,,,,,,,,,,,,,sikp - SI Kaena Point (sikp),,,,,,,,,,,,,1701 - Eielson Alpa Research 3 23 Site 1 (1701),fgwb0001 - Dobbins ARB Site #1 (fgwb0001),,,
,,,,,,,,,,,,,,sila - SI Langley (sila),,,,,,,,,,,,,1702 - Eielson Alpa Research 3 34 Site 1 (1702),fjrp0001 - Char/Douglas International Airport Site #1 (fjrp0001),,,
,,,,,,,,,,,,,,sima - SI Maui (sima),,,,,,,,,,,,,170208 - Brandon Medical Annex  (170208),fjxt0001 - Dover Air Force Base Site #1 (fjxt0001),,,
,,,,,,,,,,,,,,simo - SI Moody (simo),,,,,,,,,,,,,170210 - Nasa Clinic Rmc Site 1   (170210),"fjxw0001 - Ellendale Next Generation Site, Site #1 (fjxw0001)",,,
,,,,,,,,,,,,,,sinb - SI New Boston (sinb),,,,,,,,,,,,,170211 - Cocoa Water Plant Doppler   (170211),fknn0001 - Bangor International Airport Site #1 (fknn0001),,,
,,,,,,,,,,,,,,sios - SI Osan (sios),,,,,,,,,,,,,170212 - Carter County Radio Repeater Site (170212),fknn0002 - Commissary Site #2 (fknn0002),,,
,,,,,,,,,,,,,,sipa - SI Patrick (sipa),,,,,,,,,,,,,170221 - Bwi Administrative Office (170221),fknn0003 - Fire Station Site #3 (fknn0003),,,
,,,,,,,,,,,,,,sipe - SI Peterson_SIpe (sipe),,,,,,,,,,,,,170222 - Davis Communications Annex Site #2  (170222),fknn0004 - Bangor Lease Land Site 4 (fknn0004),,,
,,,,,,,,,,,,,,sirl - SI Rome Labs (sirl),,,,,,,,,,,,,1703 - Eielson Air Force Base (1703),fknn0005 - Hd Ramp Site #5 (fknn0005),,,
,,,,,,,,,,,,,,sisc - SI Schriever (sisc),,,,,,,,,,,,,170305 - Townsend Air To Ground Weapons Range (170305),"fluh0001 - Driftwood Bay Radio Relay Site, Site #1 (fluh0001)",,,
,,,,,,,,,,,,,,sitg - SI Taegu (sitg),,,,,,,,,,,,,1704 - Ekalaka 21Mm10 Mini Mute Radar Site 1 (1704),"fmgp0001 - Dugway Radio Relay Annex #1, Site #1 (fmgp0001)",,,
,,,,,,,,,,,,,,situ - SI Thule (situ),,,,,,,,,,,,,170429 - Camp Shelby Assualt Runwaysite #2  (170429),"fmgq0001 - Dugway Radio Relay Annex #2, Site #1 (fmgq0001)",,,
,,,,,,,,,,,,,,jtve0001 - Gulfport Biloxi Regional Ap (jtve0001),,,,,,,,,,,,,170431 - Fairview Heights Administration Office  (170431),fmkm0001 - Duluth International Airport Site #1 (fmkm0001),,,
,,,,,,,,,,,,,,ptfl0001 - Jb Mcguire Dix Lakehurst (ptfl0001),,,,,,,,,,,,,170432 - Moffett Field Site #1  (170432),fmkm0002 - Duluth International Arff Site #2 (fmkm0002),,,
,,,,,,,,,,,,,,fakz0001 - Montgomery Regional Ap (fakz0001),,,,,,,,,,,,,170433 - Site #2 Munitions Storage Area Msa-3  (170433),fmkm0003 - Duluth International Tacan Site #3 (fmkm0003),,,
,,,,,,,,,,,,,,sgbp0001 - Offutt Afb (sgbp0001),,,,,,,,,,,,,170434 - Site #3 Munitions Storage Area Msa-1  (170434),fmkm0004 - Duluth International Pol/Drmo Site #4 (fmkm0004),,,
,,,,,,,,,,,,,,vdyd0001 - Scott Afb (vdyd0001),,,,,,,,,,,,,170435 - Site #5 Vehicle Maintenance  (170435),fmkm0005 - Duluth International Bx Site #5 (fmkm0005),,,
,,,,,,,,,,,,,,tdka0001 - SI Peterson (tdka0001),,,,,,,,,,,,,170436 - Site #7 Para-Rescue Squadron & Age  (170436),"fmkm0007 - Duluth International Bldg 304, Site #7 (fmkm0007)",,,
,,,,,,,,,,,,,,vyhk0001 - Spangdahlem Ab (vyhk0001),,,,,,,,,,,,,170438 - Tinker Areospace Complex  (170438),fmkm0008 - Duluth International Munitions Site #8 (fmkm0008),,,
,,,,,,,,,,,,,,xlwu0001 - Tyndall Afb (xlwu0001),,,,,,,,,,,,,170447 - Nga Arnold Site (170447),fmkm0009 - Duluth International PMEL Site #9 (fmkm0009),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1706 - Elephant Butte Space Survelliance Station  (1706),"fncq0001 - Dunlap Mini-Mute Rbs Site 4, Site #1 (fncq0001)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,170647 - Joint Base Charleston Air Park (170647),fnsp0001 - Dutch Mountain Radio Relay Annex Site #1 (fnsp0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1707 - Elida Mini Mute Rbs Site 10 Site 1 (1707),fnwz0001 - Dyess Air Force Base Site #1 (fnwz0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1708 - Ellington Field Site #1  (1708),fnxc0001 - Dyess Communications Annex Transmitter Site #1 (fnxc0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,170800 - Ellsworth AFB Site 2 (170800),fnxh0001 - Dyess Communications Annex (fnxh0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1710 - Elloree Mini Mute Sha3 Site 1 (1710),fnxl0001 - Dyess North Weather Station Site #1 (fnxl0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,171068 - Bradshaw Training Site  (171068),fnxm0001 - Dyess South Weather Station Site #1 (fnxm0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,171074 - Savannah/Hilton Head Iap Site #2  (171074),"font0001 - Fontanafredda Family Housing Site, Site #1 (font0001)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,171075 - Savannah/Hilton Head Iap Site #3  (171075),fpaq0001 - Fort Pierce Microwave Relay Annex Site #1 (fpaq0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,171076 - Savannah/Hilton Head Iap Site #4  (171076),fpbd0001 - Fort Bliss Air National Guard Station Site #1 (fpbd0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,171077 - Savannah/Hilton Head Iap Site #5  (171077),fqvh0001 - Eagle Pass Radar Site (fqvh0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1711 - Ellsworth AFB Site 1 (1711),frfk0001 - Eastern Alabama Nexrad Site #1 (frfk0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1712 - Ellsworth Academic Annex Site #1  (1712),frvh0001 - Fairview Heights Administration Office (frvh0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1713 - Ellsworth Comm Annex Transmitter Site #1  (1713),fspm0001 - Edwards Air Force Base Site #1 (fspm0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1714 - Ellsworth Family Housing Annex #3, Site #1  (1714)",fsqa0001 - Edwards Missile Tracking Site #1 (fsqa0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1715 - Ellsworth Family Housing Annex #4, Site #1  (1715)","fsqf0001 - Edwards Missile Tracking Annex A-12, Site #1 (fsqf0001)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1725 - Ellsworth AF Missile Site B8 Site 1 (1725),"fsqg0001 - Edwards Missile Tracking Annex A-11, Site #1 (fsqg0001)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1742 - Ellsworth AF Missile Site D7 Site  1 (1742),"fsqh0001 - Edwards Missile Tracking Annex A-10, Site #1 (fsqh0001)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1749 - Ellsworth AF Missile Site E7 Site 1 (1749),ftae0001 - Ft. Carson Weapons Range Site #1 (ftae0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1819 - Ellsworth Radio Relay Annex Site #1  (1819),ftbr0001 - Egan Range Microwave Relay Annex Site #1 (ftbr0001),,,
