areaSizeUom,buildingCondition,buildingConditionIndex,buildingCustodialType,buildingOpStatus,country,dataCollection,elevationUom,facilityConditionCode,facilityGrossSqFtUom,flexFieldYn,hasGiantVoice,hasMassNotificationDevice,heightMaxUom,installationId,installationName,isHeritageAsset,isRealProperty,majorCommand,missionDependencyIndex,owner,perimeterSizeUom,roadPostDirectional,roadPrefixDirectional,rpInterest,rpaConstructionType,rpaType,rpsuid,siteId,stateName,verticalDatumType,visitorMapName
,poor,,,,bih,sketched,nauticalMile,,,,,,nauticalMile,bxur,burlingtonIApAgs,,,,,,nauticalMile,,,,,,1380,ajxj0001,ma,mlwrp,
,poorEstimated,,,,blm,spm,picometre,,,,,,picometre,cekt,campBeauregardTrainingSite,,,,,,picometre,,,,,,1381,aknr0001,md,mn,
,quarantined,,,,blr,tapeMeasure,statuteMile,,,,,,statuteMile,cnbc,campBlandingMilitaryReservation,,,,,,statuteMile,,,,,,1382,alay0001,me,msl,
,radioactive,,,,blz,tradSurvey,tbd,,,,,,tbd,crll,campMabryAngb,,,,,,tbd,,,,,,1383,alhk0001,mh,msl1912,
,tbd,,,,bmu,unknown,usSurveyFoot,,,,,,usSurveyFoot,crwu,campMurrayAgs,,,,,,usSurveyFoot,,,,,,1384,alhm0001,mi,msl1929,
,underConstruction,,,,bol,,usSurveyMile,,,,,,usSurveyMile,ctgb,campPendletonAngb,,,,,,usSurveyMile,,,,,,1386,almy0001,mn,mtl,
,unservicable,,,,bra,,yard,,,,,,yard,ctgc,campPerryAngb,,,,,,yard,,,,,,1387,alta0001,mo,na,
,usable,,,,brb,,,,,,,,,curz,campRileaAngs,,,,,,,,,,,,1389,alye0001,mp,nad83,
,usableNo,,,,brn,,,,,,,,,cvvm,campRipleyMilitaryReservation,,,,,,,,,,,,1391,alyr0001,ms,nap,
,,,,,btn,,,,,,,,,cyql,cannonAfb,,,,,,,,,,,,1392,anjd0001,mt,navd88,
,,,,,bvt,,,,,,,,,cyqy,capeCanaveralSfs,,,,,,,,,,,,1393,anyg0001,na,ngvd29,
,,,,,bwa,,,,,,,,,cyux,capeCodSfs,,,,,,,,,,,,1395,anzy0001,nc,ohioRd,
,,,,,caf,,,,,,,,,czqz,carswellAfb,,,,,,,,,,,,1397,apds0001,nd,other,
,,,,,can,,,,,,,,,dbeh,carswellArs,,,,,,,,,,,,1398,aqrc0001,ne,rlwlDonau,
,,,,,cck,,,,,,,,,dbhq,castleAfb,,,,,,,,,,,,1400,aqxg0001,nh,rnbl,
,,,,,che,,,,,,,,,dcft,cavalierSfs,,,,,,,,,,,,1401,aqxg0002,nj,rpwl,
,,,,,chl,,,,,,,,,ddpf,channelIslandsAgs,,,,,,,,,,,,1402,aqyx0001,nm,stnd,
,,,,,chn,,,,,,,,,ddpm,chanuteAfb,,,,,,,,,,,,1403,ashe0001,nv,taw,
,,,,,civ,,,,,,,,,desr,charlotteDouglasIApAgs,,,,,,,,,,,,1404,ashj0001,ny,tbd,
,,,,,cmr,,,,,,,,,djcf,cheyenneMountainSfs,,,,,,,,,,,,1405,ashp0001,oh,wgs84,
,,,,,cod,,,,,,,,,djdb,cheyenneRApAgs,,,,,,,,,,,,1406,ashu0001,ok,,
,,,,,cog,,,,,,,,,dkfx,clearSfs,,,,,,,,,,,,1407,asjd0001,or,,
