Field Name,Field Alias,Domain Type,Domain Name,Option Name,Option Code,Min Value,Max Value
installationId,Installation Identifier,CodedValue,InstallationId,smyu - Osan AB,smyu,,
installationId,Installation Identifier,CodedValue,InstallationId,spbn - Otis ANGB,spbn,,
installationId,Installation Identifier,CodedValue,InstallationId,stdf - Paine Field ANGS,stdf,,
installationId,Installation Identifier,CodedValue,InstallationId,sxht - Patrick AFB,sxht,,
installationId,Installation Identifier,CodedValue,InstallationId,szcq - Pease ANGS (BRAC),szcq,,
installationId,Installation Identifier,CodedValue,InstallationId,szdt - Pease ANGB,szdt,,
installationId,Installation Identifier,CodedValue,InstallationId,tdka - Peterson AFB,tdka,,
installationId,Installation Identifier,CodedValue,InstallationId,tdvg - Alpena County Regional Airport ANGB,tdvg,,
installationId,Installation Identifier,CodedValue,InstallationId,thwa - Plattsburgh AFB (BRAC),thwa,,
installationId,Installation Identifier,CodedValue,InstallationId,tjuw - Plumbrook Station,tjuw,,
installationId,Installation Identifier,CodedValue,InstallationId,tkwr - Punta Borinquen Radar Site,tkwr,,
installationId,Installation Identifier,CodedValue,InstallationId,tqkd - Portland International Airport AGS,tqkd,,
installationId,Installation Identifier,CodedValue,InstallationId,ttqk - AF Plant 42,ttqk,,
installationId,Installation Identifier,CodedValue,InstallationId,tumr - Luis Munoz Marin International Airport AGS,tumr,,
installationId,Installation Identifier,CodedValue,InstallationId,tvad - Punta Salinas Radar Site,tvad,,
installationId,Installation Identifier,CodedValue,InstallationId,twlr - Quonset State Regional Airport AGS,twlr,,
installationId,Installation Identifier,CodedValue,InstallationId,tyfr - Ramstein AB,tyfr,,
installationId,Installation Identifier,CodedValue,InstallationId,tymx - JB San Antonio-Randolph AFB,tymx,,
installationId,Installation Identifier,CodedValue,InstallationId,ubny - Reese AFB (BRAC),ubny,,
installationId,Installation Identifier,CodedValue,InstallationId,uctl - Reno-Tahoe International Airport AGS,uctl,,
installationId,Installation Identifier,CodedValue,InstallationId,uebl - Richards-Gebaur AFB (BRAC),uebl,,
installationId,Installation Identifier,CodedValue,InstallationId,uhhz - Robins AFB,uhhz,,
installationId,Installation Identifier,CodedValue,InstallationId,ulyb - Rosecrans Memorial Airport AGS,ulyb,,
installationId,Installation Identifier,CodedValue,InstallationId,umlh - Roslyn ANGS (BRAC),umlh,,
installationId,Installation Identifier,CodedValue,InstallationId,useb - Salt Lake City International Airport AGS,useb,,
installationId,Installation Identifier,CodedValue,InstallationId,uwde - Costa Mesa ANGS,uwde,,
installationId,Installation Identifier,CodedValue,InstallationId,uzyj - Hunter Army Airfield,uzyj,,
installationId,Installation Identifier,CodedValue,InstallationId,vbdz - Schenectady Regional Airport AGS,vbdz,,
installationId,Installation Identifier,CodedValue,InstallationId,vdyd - Scott AFB,vdyd,,
installationId,Installation Identifier,CodedValue,InstallationId,vglz - Selfridge ANGB,vglz,,
installationId,Installation Identifier,CodedValue,InstallationId,vhrj - Sepulveda ANGS,vhrj,,
installationId,Installation Identifier,CodedValue,InstallationId,vkag - Seymour Johnson AFB,vkag,,
installationId,Installation Identifier,CodedValue,InstallationId,vlsb - Shaw AFB,vlsb,,
installationId,Installation Identifier,CodedValue,InstallationId,vnmh - Eareckson AS,vnmh,,
installationId,Installation Identifier,CodedValue,InstallationId,vnvp - Sheppard AFB,vnvp,,
installationId,Installation Identifier,CodedValue,InstallationId,vssb - Sioux Gateway Airport/Col Bud Day Field ANG,vssb,,
installationId,Installation Identifier,CodedValue,InstallationId,vtnb - Goldwater ANGB (Phoenix Sky Harbor International Airport),vtnb,,
installationId,Installation Identifier,CodedValue,InstallationId,vubv - Smoky Hill ANG Range,vubv,,
installationId,Installation Identifier,CodedValue,InstallationId,vvrk - South Portland ANGB,vvrk,,
installationId,Installation Identifier,CodedValue,InstallationId,vyhk - Spangdahlem AB,vyhk,,
installationId,Installation Identifier,CodedValue,InstallationId,vzbt - Spokane IAP AGS,vzbt,,
installationId,Installation Identifier,CodedValue,InstallationId,waar - Springfield-Beckley Municipal Airport AGS,waar,,
installationId,Installation Identifier,CodedValue,InstallationId,wbga - St Croix ANGS,wbga,,
installationId,Installation Identifier,CodedValue,InstallationId,weas - Louisville International Airport-Standiford Field AGS,weas,,
installationId,Installation Identifier,CodedValue,InstallationId,wefm - Stanly County Airport,wefm,,
installationId,Installation Identifier,CodedValue,InstallationId,wfge - State College ANGS,wfge,,
installationId,Installation Identifier,CodedValue,InstallationId,whay - Stewart International Airport ANGB,whay,,
installationId,Installation Identifier,CodedValue,InstallationId,wkvb - Francis S. Gabreski ANGS,wkvb,,
installationId,Installation Identifier,CodedValue,InstallationId,wmsj - Onizuka AFS (BRAC),wmsj,,
installationId,Installation Identifier,CodedValue,InstallationId,wwcx - Thule AB,wwcx,,
installationId,Installation Identifier,CodedValue,InstallationId,wwyk - Tinker AFB,wwyk,,
installationId,Installation Identifier,CodedValue,InstallationId,wytd - Toledo Express Airport AGS,wytd,,
installationId,Installation Identifier,CodedValue,InstallationId,wzvv - Tonopah Auxiliary Airfield Annex,wzvv,,
installationId,Installation Identifier,CodedValue,InstallationId,xdat - Travis AFB,xdat,,
installationId,Installation Identifier,CodedValue,InstallationId,xdq1 - Savannah International Airport,xdq1,,
installationId,Installation Identifier,CodedValue,InstallationId,xdqu - Savannah/Hilton Head International Airport AGS,xdqu,,
installationId,Installation Identifier,CodedValue,InstallationId,xgfg - Dane County Regional Airport-Truax Field ANGB,xgfg,,
installationId,Installation Identifier,CodedValue,InstallationId,xhea - Morris ANGB (Tucson International Airport),xhea,,
installationId,Installation Identifier,CodedValue,InstallationId,xhzg - Tulsa International Airport AGS,xhzg,,
installationId,Installation Identifier,CodedValue,InstallationId,xlwu - Tyndall AFB,xlwu,,
installationId,Installation Identifier,CodedValue,InstallationId,xqpz - US Air Force Academy,xqpz,,
installationId,Installation Identifier,CodedValue,InstallationId,xtlf - Vance AFB,xtlf,,
installationId,Installation Identifier,CodedValue,InstallationId,xumu - Vandenberg AFB,xumu,,
installationId,Installation Identifier,CodedValue,InstallationId,yaqf - Volk ANGB,yaqf,,
installationId,Installation Identifier,CodedValue,InstallationId,yasf - Volkel AB,yasf,,
installationId,Installation Identifier,CodedValue,InstallationId,yksx - Warren Grove Range,yksx,,
installationId,Installation Identifier,CodedValue,InstallationId,ytpm - Westover ARB,ytpm,,
installationId,Installation Identifier,CodedValue,InstallationId,ywhg - Whiteman AFB,ywhg,,
installationId,Installation Identifier,CodedValue,InstallationId,yzeu - Will Rogers World Airport AGS,yzeu,,
installationId,Installation Identifier,CodedValue,InstallationId,yzju - Williams AFB (BRAC),yzju,,
installationId,Installation Identifier,CodedValue,InstallationId,zawa - Horsham AGS,zawa,,
installationId,Installation Identifier,CodedValue,InstallationId,zawb - Willow Grove-Horsham AGS,zawb,,
installationId,Installation Identifier,CodedValue,InstallationId,zhtv - Wright-Patterson AFB,zhtv,,
installationId,Installation Identifier,CodedValue,InstallationId,zjxd - Wurtsmith AFB (BRAC),zjxd,,
installationId,Installation Identifier,CodedValue,InstallationId,znre - Yokota AB,znre,,
installationId,Installation Identifier,CodedValue,InstallationId,zqel - Youngstown Joint ARS,zqel,,
installationId,Installation Identifier,CodedValue,InstallationId,zrvl - Zanesville AGS,zrvl,,
installationId,Installation Identifier,CodedValue,InstallationId,dhaf - Al Dhafra Air Base_dhaf,dhaf,,
installationId,Installation Identifier,CodedValue,InstallationId,alua - Al Udeid Air Base_alua,alua,,
installationId,Installation Identifier,CodedValue,InstallationId,aewv - Ali Al Salem Air Base_aewv,aewv,,
installationId,Installation Identifier,CodedValue,InstallationId,acnk - Csl Agadez_acnk,acnk,,
installationId,Installation Identifier,CodedValue,InstallationId,jbab - Jb Anacostia Bolling,jbab,,
installationId,Installation Identifier,CodedValue,InstallationId,jbsa - Jb San Antonio,jbsa,,
installationId,Installation Identifier,CodedValue,InstallationId,asvf - Muwaffaq Salti Air Base_asvf,asvf,,
installationId,Installation Identifier,CodedValue,InstallationId,sias - SI Ascension,sias,,
installationId,Installation Identifier,CodedValue,InstallationId,siav - SI Avon Park,siav,,
installationId,Installation Identifier,CodedValue,InstallationId,sibu - SI Buckley,sibu,,
installationId,Installation Identifier,CodedValue,InstallationId,sicn - SI Cape Canaveral,sicn,,
installationId,Installation Identifier,CodedValue,InstallationId,sicc - SI Cape Cod,sicc,,
installationId,Installation Identifier,CodedValue,InstallationId,sicv - SI Cavalier,sicv,,
installationId,Installation Identifier,CodedValue,InstallationId,sicm - SI Cheyenne Mountain,sicm,,
installationId,Installation Identifier,CodedValue,InstallationId,sicl - SI Clear,sicl,,
installationId,Installation Identifier,CodedValue,InstallationId,sieu - SI Eustis,sieu,,
installationId,Installation Identifier,CodedValue,InstallationId,siha - SI Hanscom,siha,,
installationId,Installation Identifier,CodedValue,InstallationId,sikp - SI Kaena Point,sikp,,
installationId,Installation Identifier,CodedValue,InstallationId,sila - SI Langley,sila,,
installationId,Installation Identifier,CodedValue,InstallationId,sima - SI Maui,sima,,
installationId,Installation Identifier,CodedValue,InstallationId,simo - SI Moody,simo,,
installationId,Installation Identifier,CodedValue,InstallationId,sinb - SI New Boston,sinb,,
installationId,Installation Identifier,CodedValue,InstallationId,sios - SI Osan,sios,,
installationId,Installation Identifier,CodedValue,InstallationId,sipa - SI Patrick,sipa,,
installationId,Installation Identifier,CodedValue,InstallationId,sipe - SI Peterson_SIpe,sipe,,
installationId,Installation Identifier,CodedValue,InstallationId,sirl - SI Rome Labs,sirl,,
installationId,Installation Identifier,CodedValue,InstallationId,sisc - SI Schriever,sisc,,
installationId,Installation Identifier,CodedValue,InstallationId,sitg - SI Taegu,sitg,,
installationId,Installation Identifier,CodedValue,InstallationId,situ - SI Thule,situ,,
installationId,Installation Identifier,CodedValue,InstallationId,jtve0001 - Gulfport Biloxi Regional Ap,jtve0001,,
installationId,Installation Identifier,CodedValue,InstallationId,ptfl0001 - Jb Mcguire Dix Lakehurst,ptfl0001,,
installationId,Installation Identifier,CodedValue,InstallationId,fakz0001 - Montgomery Regional Ap,fakz0001,,
installationId,Installation Identifier,CodedValue,InstallationId,sgbp0001 - Offutt Afb,sgbp0001,,
installationId,Installation Identifier,CodedValue,InstallationId,vdyd0001 - Scott Afb,vdyd0001,,
installationId,Installation Identifier,CodedValue,InstallationId,tdka0001 - SI Peterson,tdka0001,,
installationId,Installation Identifier,CodedValue,InstallationId,vyhk0001 - Spangdahlem Ab,vyhk0001,,
installationId,Installation Identifier,CodedValue,InstallationId,xlwu0001 - Tyndall Afb,xlwu0001,,
installationName,Installation Name,CodedValue,InstallationName,Abe Lincoln Capital Airport AGS,abeLincolnCapitalArptAgs,,
installationName,Installation Name,CodedValue,InstallationName,Abston ANGS,abstonAngs,,
installationName,Installation Name,CodedValue,InstallationName,ACC AMIC,accAmic,,
installationName,Installation Name,CodedValue,InstallationName,AF Plant 42,afPlant42,,
installationName,Installation Name,CodedValue,InstallationName,AF Research Laboratory Mesa,afrlMesa,,
installationName,Installation Name,CodedValue,InstallationName,Alpena County Regional Airport ANGB,alpenaCountyRegionalArptAngb,,
installationName,Installation Name,CodedValue,InstallationName,Altus AFB,altusAfb,,
installationName,Installation Name,CodedValue,InstallationName,Andersen AFB,andersenAfb,,
installationName,Installation Name,CodedValue,InstallationName,Arkabutla Lake ANG Training Annex,arkabutlaLakeAngTrainingAnnex,,
installationName,Installation Name,CodedValue,InstallationName,Arnold AFB,arnoldAfb,,
installationName,Installation Name,CodedValue,InstallationName,Atlantic City International Airport AGS,atlanticCityIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Aviano AB,avianoAb,,
installationName,Installation Name,CodedValue,InstallationName,Bangor International Airport AGS,bangorIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Barking Sands Naval Comm Station ANG,barkingSandsNavalCommStationAng,,
installationName,Installation Name,CodedValue,InstallationName,Barksdale AFB,barksdaleAfb,,
installationName,Installation Name,CodedValue,InstallationName,Barnes Municipal Airport AGS,barnesMApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Beale AFB,bealeAfb,,
installationName,Installation Name,CodedValue,InstallationName,Bergstrom AFB,bergstromAfb,,
installationName,Installation Name,CodedValue,InstallationName,Birmingham Municipal Airport AGS,birminghamMApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Blue Ash ANGS,blueAshAngs,,
installationName,Installation Name,CodedValue,InstallationName,Boise Air Terminal AGS,boiseAirTerminalAgs,,
installationName,Installation Name,CodedValue,InstallationName,Bradley International Airport AGS,bradleyIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Brooks City Base,brooksCityBase,,
installationName,Installation Name,CodedValue,InstallationName,Buckley SFB,buckleySfb,,
installationName,Installation Name,CodedValue,InstallationName,Buckley Annex,buckleyAnnex,,
installationName,Installation Name,CodedValue,InstallationName,Buechel AB,buechelAb,,
installationName,Installation Name,CodedValue,InstallationName,Burlington International Airport AGS,burlingtonIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Camp Beauregard Training Site,campBeauregardTrainingSite,,
installationName,Installation Name,CodedValue,InstallationName,Camp Blanding Military Reservation,campBlandingMilitaryReservation,,
installationName,Installation Name,CodedValue,InstallationName,Camp Mabry ANGS,campMabryAngb,,
installationName,Installation Name,CodedValue,InstallationName,Camp Murray ANGS,campMurrayAgs,,
installationName,Installation Name,CodedValue,InstallationName,Camp Pendleton Military Reservation ANG,campPendletonAngb,,
installationName,Installation Name,CodedValue,InstallationName,Camp Perry ANGB,campPerryAngb,,
installationName,Installation Name,CodedValue,InstallationName,Camp Rilea ANGS,campRileaAngs,,
installationName,Installation Name,CodedValue,InstallationName,Camp Ripley Military Reservation,campRipleyMilitaryReservation,,
installationName,Installation Name,CodedValue,InstallationName,Cannon AFB,cannonAfb,,
installationName,Installation Name,CodedValue,InstallationName,Cape Canaveral SFS,capeCanaveralSfs,,
installationName,Installation Name,CodedValue,InstallationName,Cape Cod SFS,capeCodSfs,,
installationName,Installation Name,CodedValue,InstallationName,Carswell AFB,carswellAfb,,
installationName,Installation Name,CodedValue,InstallationName,Carswell ARS,carswellArs,,
installationName,Installation Name,CodedValue,InstallationName,Castle AFB,castleAfb,,
installationName,Installation Name,CodedValue,InstallationName,Cavalier SFS,cavalierSfs,,
installationName,Installation Name,CodedValue,InstallationName,Channel Islands ANGS,channelIslandsAgs,,
installationName,Installation Name,CodedValue,InstallationName,Chanute AFB,chanuteAfb,,
installationName,Installation Name,CodedValue,InstallationName,Charlotte/Douglas International Airport AGS,charlotteDouglasIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Cheyenne Mountain SFS,cheyenneMountainSfs,,
installationName,Installation Name,CodedValue,InstallationName,Cheyenne Regional Airport AGS,cheyenneRApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Clear SFS,clearSfs,,
installationName,Installation Name,CodedValue,InstallationName,Columbus AFB,columbusAfb,,
installationName,Installation Name,CodedValue,InstallationName,Costa Mesa ANGS,costaMesaAngs,,
installationName,Installation Name,CodedValue,InstallationName,Coyle ANG Training Annex,coyleAngTrainingAnnex,,
installationName,Installation Name,CodedValue,InstallationName,Creech AFB,creechAfb,,
installationName,Installation Name,CodedValue,InstallationName,Dane County Regional Airport-Truax Field ANGB,daneCountyRApTruaxFieldAngb,,
installationName,Installation Name,CodedValue,InstallationName,Davis Monthan AFB,davisMonthanAfb,,
installationName,Installation Name,CodedValue,InstallationName,Des Moines International Airport AGS,desMoinesIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Dobbins ARB,dobbinsArb,,
installationName,Installation Name,CodedValue,InstallationName,Dothan Regional Airport ANGS,dothanRegionalAirportAngs,,
installationName,Installation Name,CodedValue,InstallationName,Dover AFB,doverAfb,,
installationName,Installation Name,CodedValue,InstallationName,Duluth International Airport AGS,duluthAgs,,
installationName,Installation Name,CodedValue,InstallationName,Dyess AFB,dyessAfb,,
installationName,Installation Name,CodedValue,InstallationName,Eaker AFB,eakerAfb,,
installationName,Installation Name,CodedValue,InstallationName,Eareckson AS,earecksonAs,,
installationName,Installation Name,CodedValue,InstallationName,Eastern Air Defense SectorANG,easternAirDefenseSectorAng,,
installationName,Installation Name,CodedValue,InstallationName,Eastern WV Regional Airport-Shepherd Field AGS,easternWvRegionalArptShepherdFieldAgs,,
installationName,Installation Name,CodedValue,InstallationName,Edwards AFB,edwardsAfb,,
installationName,Installation Name,CodedValue,InstallationName,Eglin AFB,eglinAfb,,
installationName,Installation Name,CodedValue,InstallationName,Eielson AFB,eielsonAfb,,
installationName,Installation Name,CodedValue,InstallationName,Ellington Field AGS,ellingtonFieldAgs,,
installationName,Installation Name,CodedValue,InstallationName,Ellsworth AFB,ellsworthAfb,,
installationName,Installation Name,CodedValue,InstallationName,England AFB,englandAfb,,
installationName,Installation Name,CodedValue,InstallationName,Fairchild AFB,fairchildAfb,,
installationName,Installation Name,CodedValue,InstallationName,Forbes Field AGS,forbesFieldAgs,,
installationName,Installation Name,CodedValue,InstallationName,Fort Dodge ANG,fortDodgeAng,,
installationName,Installation Name,CodedValue,InstallationName,Fort Drum Military Reservation,fortDrumMilitaryReservation,,
installationName,Installation Name,CodedValue,InstallationName,Fort George Meade,fortGeorgeMeade,,
installationName,Installation Name,CodedValue,InstallationName,Fort Huachuca,fortHuachuca,,
installationName,Installation Name,CodedValue,InstallationName,Fort Indiantown GAP ANGS,fortIndiantownGApAngs,,
installationName,Installation Name,CodedValue,InstallationName,Ft. Smith Municipal Airport AGS,fortSmithMunicipalArptAgs,,
installationName,Installation Name,CodedValue,InstallationName,Fort Wayne International Airport AGS,fortWayneIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Four Lakes ANGS,fourLakesAngs,,
installationName,Installation Name,CodedValue,InstallationName,Francis E. Warren AFB,francisEWarrenAfb,,
installationName,Installation Name,CodedValue,InstallationName,Francis S. Gabreski ANGS,francisSGabreskiAgs,,
installationName,Installation Name,CodedValue,InstallationName,Fresno/Yosemite Air Terminal AGS,fresnoYosemiteAirTerminalAgs,,
installationName,Installation Name,CodedValue,InstallationName,Galena FOL,galenaFol,,
installationName,Installation Name,CodedValue,InstallationName,General Billy Mitchell International Airport AGS,generalBillyMitchellIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,General Mitchell ANGB,generalMitchellAngb,,
installationName,Installation Name,CodedValue,InstallationName,General Wayne A. Downing Peoria International Airport AGS,generalWayneADowningPeoriaIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Gentile AFS,gentileAfs,,
installationName,Installation Name,CodedValue,InstallationName,George AFB,georgeAfb,,
installationName,Installation Name,CodedValue,InstallationName,Glynco ANGS,glyncoAngs,,
installationName,Installation Name,CodedValue,InstallationName,Goodfellow AFB,goodfellowAfb,,
installationName,Installation Name,CodedValue,InstallationName,Grand Forks AFB,grandForksAfb,,
installationName,Installation Name,CodedValue,InstallationName,Great Falls International Airport AGS,greatFallsIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Greeley ANGS,greeleyAngs,,
installationName,Installation Name,CodedValue,InstallationName,Griffiss AFB,griffissAfb,,
installationName,Installation Name,CodedValue,InstallationName,Grissom ARB,grissomArb,,
installationName,Installation Name,CodedValue,InstallationName,Gulfport-Biloxi Airport ANG,gulfportBiloxiAirport,,
installationName,Installation Name,CodedValue,InstallationName,Hammond ANG Communication Station,hammondAngCommunicationStation,,
installationName,Installation Name,CodedValue,InstallationName,Hanscom AFB,hanscomAfb,,
installationName,Installation Name,CodedValue,InstallationName,Hardwood Weapons Range,hardwoodWeaponsRange,,
installationName,Installation Name,CodedValue,InstallationName,Harrisburg Olmstead International Airport AGS,harrisburgOlmsteadIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Hayward Municipal Airport,haywardMunicipalAirport,,
installationName,Installation Name,CodedValue,InstallationName,Hector International Airport AGS,hectorIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Hensley Field AGS,hensleyFieldAgs,,
installationName,Installation Name,CodedValue,InstallationName,Hill AFB,hillAfb,,
installationName,Installation Name,CodedValue,InstallationName,Holloman AFB,hollomanAfb,,
installationName,Installation Name,CodedValue,InstallationName,Homestead AFB,homesteadAfb,,
installationName,Installation Name,CodedValue,InstallationName,Homestead ARB,homesteadArb,,
installationName,Installation Name,CodedValue,InstallationName,Horsham AGS,horshamAgs,,
installationName,Installation Name,CodedValue,InstallationName,Hunter Army Airfield,hunterArmyAirfield,,
installationName,Installation Name,CodedValue,InstallationName,Hurlburt Field,hurlburtField,,
installationName,Installation Name,CodedValue,InstallationName,Incirlik AB,incirlikAb,,
installationName,Installation Name,CodedValue,InstallationName,Izmir Air Base,izmirAirBase,,
installationName,Installation Name,CodedValue,InstallationName,Jackson Barracks ANGS,jacksonBarracksAngs,,
installationName,Installation Name,CodedValue,InstallationName,Jackson International Airport/Thompson Field AGS,jacksonIApThompsonFieldAgs,,
installationName,Installation Name,CodedValue,InstallationName,Jacksonville International Airport AGS,jacksonvilleIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,JB Andrews,jbAndrews,,
installationName,Installation Name,CodedValue,InstallationName,JB Charleston,jbCharleston,,
installationName,Installation Name,CodedValue,InstallationName,JB Elmendorf Richardson,jbElmendorfRichardson,,
installationName,Installation Name,CodedValue,InstallationName,JB Langley Eustis,jbLangleyEustis,,
installationName,Installation Name,CodedValue,InstallationName,JB McGuire Dix Lakehurst,jbMcGuireDixLakehurst,,
installationName,Installation Name,CodedValue,InstallationName,JB San Antonio-Fort Sam Houston,jbSanAntonioFortSamHouston,,
installationName,Installation Name,CodedValue,InstallationName,JB San Antonio-Lackland AFB,jbSanAntonioLacklandAfb,,
installationName,Installation Name,CodedValue,InstallationName,JB San Antonio-Randolph AFB,jbSanAntonioRandolphAfb,,
installationName,Installation Name,CodedValue,InstallationName,Jefferson Barracks ANGS,jeffersonBarracksAngs,,
installationName,Installation Name,CodedValue,InstallationName,Jefferson Proving Grounds,jeffersonProvingGrounds,,
installationName,Installation Name,CodedValue,InstallationName,Joe Foss Field AGS,joeFossFieldAgs,,
installationName,Installation Name,CodedValue,InstallationName,Johnstown Cambria County Airport,johnstownCambriaCountyAirport,,
installationName,Installation Name,CodedValue,InstallationName,Joint Base Anacostia-Bolling,jointBaseAnacostiaBolling,,
installationName,Installation Name,CodedValue,InstallationName,Joint Base Pearl Harbor Hickam,jointBasePearlHarborHickam,,
installationName,Installation Name,CodedValue,InstallationName,Kadena AB,kadenaAb,,
installationName,Installation Name,CodedValue,InstallationName,Kahului Communication Station,kahuluiCommunicationStation,,
installationName,Installation Name,CodedValue,InstallationName,Kalaeloa ANG,kalaeloaAng,,
installationName,Installation Name,CodedValue,InstallationName,Keaukaha Military Reservation,keaukahaMilitaryReservation,,
installationName,Installation Name,CodedValue,InstallationName,Keesler AFB,keeslerAfb,,
installationName,Installation Name,CodedValue,InstallationName,Kelly AFB,kellyAfb,,
installationName,Installation Name,CodedValue,InstallationName,Kelly Field Annex,kellyFieldAnnex,,
installationName,Installation Name,CodedValue,InstallationName,Key Field AGS,keyFieldAgs,,
installationName,Installation Name,CodedValue,InstallationName,Kirtland AFB,kirtlandAfb,,
installationName,Installation Name,CodedValue,InstallationName,K.I. Sawyer AFB,kisawyerAfb,,
installationName,Installation Name,CodedValue,InstallationName,Klamath Falls Airport-Kingsley Field AGS,klamathFallsAprtKingsleyFieldAgs,,
installationName,Installation Name,CodedValue,InstallationName,Kleine-Brogel,kleineBrogel,,
installationName,Installation Name,CodedValue,InstallationName,Kulis ANGB,kulisAngb,,
installationName,Installation Name,CodedValue,InstallationName,Kunsan AB,kunsanAb,,
installationName,Installation Name,CodedValue,InstallationName,Lajes Field,lajesField,,
installationName,Installation Name,CodedValue,InstallationName,Lambert Field-St Louis International Airport ANGB,lambertFieldStLouisIApAngb,,
installationName,Installation Name,CodedValue,InstallationName,La Porte ANGS,laPorteAngs,,
installationName,Installation Name,CodedValue,InstallationName,Laughlin AFB,laughlinAfb,,
installationName,Installation Name,CodedValue,InstallationName,Lincoln Municipal Airport AGS,lincolnMApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Little Rock AFB,littleRockAfb,,
installationName,Installation Name,CodedValue,InstallationName,Loring AFB,loringAfb,,
installationName,Installation Name,CodedValue,InstallationName,Los Angeles AFB,losAngelesAfb,,
installationName,Installation Name,CodedValue,InstallationName,Louisville International Airport-Standiford Field AGS,louisvilleIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Lowry AFB,lowryAfb,,
installationName,Installation Name,CodedValue,InstallationName,Luis Munoz Marin International Airport AGS,luisMunozMarinIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Luke AFB,lukeAfb,,
installationName,Installation Name,CodedValue,InstallationName,MacDill AFB,macDillAfb,,
installationName,Installation Name,CodedValue,InstallationName,Malmstrom AFB,malmstromAfb,,
installationName,Installation Name,CodedValue,InstallationName,Mansfield Lahm ANGB,mansfieldLahmAngb,,
installationName,Installation Name,CodedValue,InstallationName,March AFB,marchAfb,,
installationName,Installation Name,CodedValue,InstallationName,March ARB,marchArb,,
installationName,Installation Name,CodedValue,InstallationName,Martin State Airport AGS,martinStateAprtAgs,,
installationName,Installation Name,CodedValue,InstallationName,Mather AFB,matherAfb,,
installationName,Installation Name,CodedValue,InstallationName,Maxwell AFB,maxwellAfb,,
installationName,Installation Name,CodedValue,InstallationName,McChord AFB,mcchordAfb,,
installationName,Installation Name,CodedValue,InstallationName,Mcclellan AFB,mcclellanAfb,,
installationName,Installation Name,CodedValue,InstallationName,McConnell AFB,mcConnellAfb,,
installationName,Installation Name,CodedValue,InstallationName,McEntire Joint ANGB,mcEntireAngb,,
installationName,Installation Name,CodedValue,InstallationName,McGhee Tyson Airport AGS,mcGheeTysonAptAgs,,
installationName,Installation Name,CodedValue,InstallationName,Memphis International Airport AGS,memphisIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Middle Georgia Regional Airport AGS,middleGeorgiaRApAgs,,
installationName,Installation Name,CodedValue,InstallationName,Minneapolis-St. Paul International Airport AGS,minneapolisStPaulAgs,,
installationName,Installation Name,CodedValue,InstallationName,Minot AFB,minotAfb,,
installationName,Installation Name,CodedValue,InstallationName,Minot ANGS,minotAngs,,
installationName,Installation Name,CodedValue,InstallationName,Misawa AB,misawaAb,,
installationName,Installation Name,CodedValue,InstallationName,Moffett Field ANGB,moffettFieldAngb,,
installationName,Installation Name,CodedValue,InstallationName,Montgomery Regional Airport ANGB,montgomeryRegionalAptAngb,,
installationName,Installation Name,CodedValue,InstallationName,Moody AFB,moodyAfb,,
installationName,Installation Name,CodedValue,InstallationName,Moron Air Base,moronAirBase,,
installationName,Installation Name,CodedValue,InstallationName,Mountain Home AFB,mountainHomeAfb,,
installationName,Installation Name,CodedValue,InstallationName,Myrtle Beach AFB,myrtleBeachAfb,,
installationName,Installation Name,CodedValue,InstallationName,Nashville International Airport AGS,nashvilleIApAgs,,
installationName,Installation Name,CodedValue,InstallationName,NAS Joint Reserve Base New Orleans,nasJrbNewOrleans,,
installationName,Installation Name,CodedValue,InstallationName,Nellis AFB,nellisAfb,,
installationName,Installation Name,CodedValue,InstallationName,Newark AFB,newarkAfb,,
installationName,Installation Name,CodedValue,InstallationName,New Castle County AGS,newCastleCountyAgs,,
installationName,Installation Name,CodedValue,InstallationName,Niagara Falls International Airport ARS,niagaraFallsIapArs,,
installationName,Installation Name,CodedValue,InstallationName,North Highlands ANGS,northHighlandsAngs,,
installationName,Installation Name,CodedValue,InstallationName,North Smithfield ANGS,northSmithfieldAngs,,
installationName,Installation Name,CodedValue,InstallationName,Norton AFB,nortonAfb,,
installationName,Installation Name,CodedValue,InstallationName,Offutt AFB,offuttAfb,,
installationName,Installation Name,CodedValue,InstallationName,O'Hare ARS,ohareArs,,
