Field Name,Field Alias,Domain Type,Domain Name,Option Name,Option Code,Min Value,Max Value
buildingOpStatus,Building Op Status,CodedValue,OperationalStatus,To Be Determined,tbd,,
buildingOpStatus,Building Op Status,CodedValue,OperationalStatus,Temporary,temporary,,
buildingOpStatus,Building Op Status,CodedValue,OperationalStatus,Under Construction,underConstruction,,
buildingOpStatus,Building Op Status,CodedValue,OperationalStatus,Under Repair,underRepair,,
buildingOpStatus,Building Op Status,CodedValue,OperationalStatus,Unknown,unknown,,
country,Country,CodedValue,CountryCode,Aruba (AW),abw,,
country,Country,CodedValue,CountryCode,Afghanistan (AF),afg,,
country,Country,CodedValue,CountryCode,Angola (AO),ago,,
country,Country,CodedValue,CountryCode,Anguilla (AI),aia,,
country,Country,CodedValue,CountryCode,Albania (AL),alb,,
country,Country,CodedValue,CountryCode,Andorra (AD),and,,
country,Country,CodedValue,CountryCode,United Arab Emirates (AE),are,,
country,Country,CodedValue,CountryCode,Argentina (AR),arg,,
country,Country,CodedValue,CountryCode,Armenia (AM),arm,,
country,Country,CodedValue,CountryCode,American Samoa (AS),asm,,
country,Country,CodedValue,CountryCode,Antarctica (AQ),ata,,
country,Country,CodedValue,CountryCode,French Southern and Antarctic Lands (TF),atf,,
country,Country,CodedValue,CountryCode,Antigua And Barbuda (AG),atg,,
country,Country,CodedValue,CountryCode,Australia (AU),aus,,
country,Country,CodedValue,CountryCode,Austria (AT),aut,,
country,Country,CodedValue,CountryCode,GUANTANAMO BAY NAVAL BASE (A2),ax2,,
country,Country,CodedValue,CountryCode,Azerbaijan (AZ),aze,,
country,Country,CodedValue,CountryCode,Burundi (BI),bdi,,
country,Country,CodedValue,CountryCode,Belgium (BE),bel,,
country,Country,CodedValue,CountryCode,Benin (BJ),ben,,
country,Country,CodedValue,CountryCode,"Bonaire, Sint Eustatius and Saba (BQ)",bes,,
country,Country,CodedValue,CountryCode,Burkina Faso (BF),bfa,,
country,Country,CodedValue,CountryCode,Bangladesh (BD),bgd,,
country,Country,CodedValue,CountryCode,Bulgaria (BG),bgr,,
country,Country,CodedValue,CountryCode,Bahrain (BH),bhr,,
country,Country,CodedValue,CountryCode,"Bahamas, The (BS)",bhs,,
country,Country,CodedValue,CountryCode,Bosnia And Herzegovina (BA),bih,,
country,Country,CodedValue,CountryCode,Saint Barthelemy (BL),blm,,
country,Country,CodedValue,CountryCode,Belarus (BY),blr,,
country,Country,CodedValue,CountryCode,Belize (BZ),blz,,
country,Country,CodedValue,CountryCode,Bermuda (BM),bmu,,
country,Country,CodedValue,CountryCode,Bolivia (BO),bol,,
country,Country,CodedValue,CountryCode,Brazil (BR),bra,,
country,Country,CodedValue,CountryCode,Barbados (BB),brb,,
country,Country,CodedValue,CountryCode,Brunei (BN),brn,,
country,Country,CodedValue,CountryCode,Bhutan (BT),btn,,
country,Country,CodedValue,CountryCode,Bouvet Island (BV),bvt,,
country,Country,CodedValue,CountryCode,Botswana (BW),bwa,,
country,Country,CodedValue,CountryCode,Central African Republic (CF),caf,,
country,Country,CodedValue,CountryCode,Canada (CA),can,,
country,Country,CodedValue,CountryCode,Cocos (Keeling) Islands (CC),cck,,
country,Country,CodedValue,CountryCode,Switzerland (CH),che,,
country,Country,CodedValue,CountryCode,Chile (CL),chl,,
country,Country,CodedValue,CountryCode,China (CN),chn,,
country,Country,CodedValue,CountryCode,Cote D'Ivoire (CI),civ,,
country,Country,CodedValue,CountryCode,Cameroon (CM),cmr,,
country,Country,CodedValue,CountryCode,"Congo (Kinshasa), Democratic Republic Of The (CD)",cod,,
country,Country,CodedValue,CountryCode,Congo (Brazzaville) (CG),cog,,
country,Country,CodedValue,CountryCode,Cook Islands (CK),cok,,
country,Country,CodedValue,CountryCode,Colombia (CO),col,,
